saudacao;Em que posso ser útil?
saudacao;Posso anotar o seu pedido?
saudacao;Seja bem vindo a nossa loja. Posso anotar sua solicitação?
saudacao;Seja muito bem vindo, temos várias opções de polpas de frutas aqui.
saudacao;Como posso lhe atender?
saudacao;Polpas de frutas é aqui mesmo na SJN Polpas. Como posso lhe ser útil?
saudacao;Bom dia!
saudacao;Olá!
saudacao;Oi!
tabela;Nossa tabela de preços é essa.
tabela;Esses são nossos produtos.
tabela;Aqui estão nossos produtos.
tabela;Segue nossos valores.
tabela;Trabalhamos com esses produtos.
tabela;Nossos produtos são 100% naturais.
tabela;Todos os nossos produtos são 100% naturais.
pedido;certo, pedido anotado. Algo mais?
pedido;Ok, deseja mais algum produto?
pedido;Tudo bem, algo a mais senhor(a)?
pedido;Maravilha... algo a mais?
pedido;Anotado, gostaria de algo a mais?
pedido;Algo a mais ?
conta;Vou fechar sua conta, um instante por favor.
conta;Um momento por favor...
conta;Vou somar aqui, um momento.
conta;Vou ver pra você o valor total.
conta;Totalizando aqui...
conta;Deixa eu somar, rapidinho...
confirmacao;Ok!
confirmacao;Certo!
confirmacao;Tudo certo!
confirmacao;Pronto!
confirmacao;Muito que bom! =)
negacao;Ah! tudo bem então
negacao;Que peninha...
negacao;mas que pena... =(
negacao;tudo bem, então... =(
despedida;Até mais. ;)
despedida;Até outra hora. ;)
despedida;Até um outro dia.
despedida;Até mais ver. =)
despedida;Até mais, foi um prazer lhe atender.
agradecimento;Agradecemos pela preferência. ^_^
agradecimento;Muito obrigado! =)
agradecimento;Obrigada! =)
agradecimento;Agradecida!
continuidade;Ok, o que deseja agora?
continuidade;Pronto. Algo mais?
continuidade;E agora?
continuidade;Foi... O que mais deseja?
